timestamp,x,y,z
2025-04-07 12:58:26.335148335,-109,-337,2000
2025-04-07 12:58:26.350769043,-125,-317,2029
2025-04-07 12:58:26.366389513,-133,-324,2070
2025-04-07 12:58:26.382010221,-100,-328,1974
2025-04-07 12:58:26.397630692,-92,-287,1926
2025-04-07 12:58:26.413251400,-104,-284,1973
2025-04-07 12:58:26.428871870,-103,-234,2110
2025-04-07 12:58:26.444492340,-96,-229,2128
2025-04-07 12:58:26.460113049,-45,-222,1988
2025-04-07 12:58:26.475733519,-46,-205,1908
2025-04-07 12:58:26.491354227,-76,-162,1935
2025-04-07 12:58:26.506974697,-54,-90,2209
2025-04-07 12:58:26.522595406,-35,-85,2268
2025-04-07 12:58:26.538215876,-33,-95,2161
2025-04-07 12:58:26.553836346,-84,-105,2044
2025-04-07 12:58:26.569457054,-22,-107,2067
2025-04-07 12:58:26.585077524,-2,-104,2127
2025-04-07 12:58:26.600698233,-56,-207,2205
2025-04-07 12:58:26.616318703,7,-108,2127
2025-04-07 12:58:26.631939411,115,-44,1924
2025-04-07 12:58:26.647559881,-9,-108,1931
2025-04-07 12:58:26.663180351,-52,-115,2040
2025-04-07 12:58:26.678801060,-59,-120,2135
2025-04-07 12:58:26.694421530,-69,-132,2091
2025-04-07 12:58:26.710042238,-65,-124,2051
2025-04-07 12:58:26.725662708,-56,-113,2029
2025-04-07 12:58:26.741283417,-54,-145,2078
2025-04-07 12:58:26.756903887,-33,-137,2171
2025-04-07 12:58:26.772524357,-34,-164,1995
2025-04-07 12:58:26.788145065,-20,-159,1945
2025-04-07 12:58:26.803765535,-46,-164,1960
2025-04-07 12:58:26.819386244,-4,-180,2036
2025-04-07 12:58:26.835006714,-26,-210,2048
2025-04-07 12:58:26.850627422,-37,-205,2080
2025-04-07 12:58:26.866247892,-14,-225,2052
2025-04-07 12:58:26.881868362,-33,-215,2033
2025-04-07 12:58:26.897489071,9,-206,2047
2025-04-07 12:58:26.913109541,10,-204,2001
2025-04-07 12:58:26.928730249,6,-208,2045
2025-04-07 12:58:26.944350719,-14,-188,2058
2025-04-07 12:58:26.959971428,-41,-206,2050
2025-04-07 12:58:26.975591898,-24,-205,2024
2025-04-07 12:58:26.991212368,-40,-189,2038
2025-04-07 12:58:27.006833076,-57,-198,2041
2025-04-07 12:58:27.022453547,-59,-200,2050
2025-04-07 12:58:27.038074255,-77,-192,2048
2025-04-07 12:58:27.053694725,-63,-184,2037
2025-04-07 12:58:27.069315434,-71,-167,2040
2025-04-07 12:58:27.084935904,-51,-156,2052
2025-04-07 12:58:27.100556374,-79,-186,2052
2025-04-07 12:58:27.116177082,-54,-203,2036
2025-04-07 12:58:27.131797552,-33,-198,2010
2025-04-07 12:58:27.147418261,-34,-207,2036
2025-04-07 12:58:27.163038731,-10,-201,2076
2025-04-07 12:58:27.178659439,6,-212,2082
2025-04-07 12:58:27.194279909,21,-201,2069
2025-04-07 12:58:27.209900379,-6,-232,2064
2025-04-07 12:58:27.225521088,-9,-211,2064
2025-04-07 12:58:27.241141558,-31,-193,2062
2025-04-07 12:58:27.256762266,-30,-186,2042
2025-04-07 12:58:27.272382736,-31,-188,2042
2025-04-07 12:58:27.288003445,-31,-199,2054
2025-04-07 12:58:27.303623915,-50,-202,2050
2025-04-07 12:58:27.319244385,-45,-203,2057
2025-04-07 12:58:27.334865093,-38,-227,2013
2025-04-07 12:58:27.350485563,-40,-219,2027
2025-04-07 12:58:27.366106272,-38,-201,2051
2025-04-07 12:58:27.381726742,-4,-189,2080
2025-04-07 12:58:27.397347450,-22,-209,2077
2025-04-07 12:58:27.412967920,-49,-232,2050
2025-04-07 12:58:27.428588390,-45,-244,2012
2025-04-07 12:58:27.444209099,-37,-237,2003
2025-04-07 12:58:27.459829569,-45,-220,2079
2025-04-07 12:58:27.475450277,-43,-208,2059
2025-04-07 12:58:27.491070747,-61,-179,2049
2025-04-07 12:58:27.506691456,-34,-185,2021
2025-04-07 12:58:27.522311926,-62,-177,2045
2025-04-07 12:58:27.537932396,-36,-157,2090
2025-04-07 12:58:27.553553104,-9,-153,2080
2025-04-07 12:58:27.569173574,-31,-185,2044
2025-04-07 12:58:27.584794283,-36,-206,2026
2025-04-07 12:58:27.600414753,-61,-203,2054
2025-04-07 12:58:27.616035223,-42,-228,2074
2025-04-07 12:58:27.631655931,-41,-216,2056
2025-04-07 12:58:27.647276402,-29,-218,2038
2025-04-07 12:58:27.662897110,-58,-206,2036
2025-04-07 12:58:27.678517580,-70,-202,2051
2025-04-07 12:58:27.694138288,-35,-179,2058
2025-04-07 12:58:27.709758759,-34,-190,2060
2025-04-07 12:58:27.725379229,-33,-178,2082
2025-04-07 12:58:27.740999937,-39,-177,2051
2025-04-07 12:58:27.756620407,-47,-183,2017
2025-04-07 12:58:27.772241116,-31,-198,2020
2025-04-07 12:58:27.787861586,-35,-199,2078
2025-04-07 12:58:27.803482294,-22,-192,2064
2025-04-07 12:58:27.819102764,-48,-217,2027
2025-04-07 12:58:27.834723234,-79,-215,2017
2025-04-07 12:58:27.850343943,-62,-196,2059
2025-04-07 12:58:27.865964413,-64,-192,2101
